region,brand,collection,price,cost,quantity_sold,sales_revenue,total_cost,gross_profit,year_quarter,year
Northeast,Jeffrey Alexander,Milan,13.39,7.85,377,5048.03,2959.45,2088.58,2016-Q3,2016
West,Jeffrey Alexander,Belcastel,7.13,4.2,90,641.7,378,263.7,2016-Q3,2016
Central,Elements,Calloway,6.55,4.14,866,5672.3,3585.24,2087.06,2016-Q3,2016
South,Jeffrey Alexander,Durham,21.99,13.56,540,11874.6,7322.4,4552.2,2016-Q3,2016
Central,Elements,Slade,4.35,2.74,789,3432.15,2161.86,1270.29,2016-Q3,2016
Central,Elements,Sedona,11.63,7.49,216,2512.08,1617.84,894.24,2016-Q3,2016
Midwest,Jeffrey Alexander,Rae,10.35,6.07,1157,11974.95,7022.99,4951.96,2016-Q3,2016
East coast,Jeffrey Alexander,Rhodes,5.25,2.92,329,1727.25,960.68,766.57,2016-Q3,2016
Northwest,Elements,Hammond,3.73,2.6,259,966.07,673.4,292.67,2016-Q3,2016
East coast,Jeffrey Alexander,Evangeline,9.39,5.97,215,2018.85,1283.55,735.3,2016-Q3,2016
South,Jeffrey Alexander,Bremen,126,75.44,338,42588,25498.72,17089.28,2016-Q3,2016
Northeast,Jeffrey Alexander,Regan,5.39,3.39,44,237.16,149.16,88,2016-Q3,2016
Central,Elements,Zachary,5.79,3.93,611,3537.69,2401.23,1136.46,2016-Q3,2016
Central,Elements,Naples,10.83,6.76,699,7570.17,4725.24,2844.93,2016-Q3,2016
West,Jeffrey Alexander,Sutton,34.65,20.78,998,34580.7,20738.44,13842.26,2016-Q3,2016
East coast,Jeffrey Alexander,Tahoe,13.83,8.73,575,7952.25,5019.75,2932.5,2016-Q3,2016
South,Jeffrey Alexander,Breighton,7.81,4.69,358,2795.98,1679.02,1116.96,2016-Q3,2016
West,Jeffrey Alexander,Sonoma,12.86,7.66,95,1221.7,727.7,494,2016-Q3,2016
Central,Elements,Cosgrove,3.58,2.4,682,2441.56,1636.8,804.76,2016-Q3,2016
Central,Elements,Edgefield,3.89,2.46,930,3617.7,2287.8,1329.9,2016-Q3,2016
East coast,Elements,Syracuse,3.53,2.24,516,1821.48,1155.84,665.64,2016-Q3,2016
Central,Jeffrey Alexander,Lyon,6.95,3.85,422,2932.9,1624.7,1308.2,2016-Q3,2016
West,Jeffrey Alexander,Escutcheons,1.78,1.14,818,1456.04,932.52,523.52,2016-Q3,2016
South,Jeffrey Alexander,Lafayette,10.83,6.09,720,7797.6,4384.8,3412.8,2016-Q3,2016
South,Jeffrey Alexander,Durham,6.61,4.16,565,3734.65,2350.4,1384.25,2016-Q3,2016
Midwest,Jeffrey Alexander,Tahoe,136.25,87.33,1306,177942.5,114052.98,63889.52,2016-Q3,2016
Central,Elements,Naples,21.61,13.71,225,4862.25,3084.75,1777.5,2016-Q3,2016
Central,Elements,Calloway,4.41,2.97,974,4295.34,2892.78,1402.56,2016-Q3,2016
Northwest,Elements,Torino,2.52,1.73,370,932.4,640.1,292.3,2016-Q3,2016
South,Jeffrey Alexander,Backplates,5.09,2.84,255,1297.95,724.2,573.75,2016-Q3,2016
South,Jeffrey Alexander,Maybeck,26.62,15.94,334,8891.08,5323.96,3567.12,2016-Q3,2016
Midwest,Elements,Naples,3.63,2.28,791,2871.33,1803.48,1067.85,2016-Q3,2016
South,Jeffrey Alexander,Rae,6.58,3.9,279,1835.82,1088.1,747.72,2016-Q3,2016
West,Jeffrey Alexander,Sutton,10.25,6.31,289,2962.25,1823.59,1138.66,2016-Q3,2016
Northwest,Jeffrey Alexander,Hayworth,13.83,8.18,932,12889.56,7623.76,5265.8,2016-Q3,2016
West,Jeffrey Alexander,Tahoe,21.99,14.17,178,3914.22,2522.26,1391.96,2016-Q3,2016
West,Jeffrey Alexander,Belcastel,14.05,7.98,835,11731.75,6663.3,5068.45,2016-Q3,2016
East coast,Jeffrey Alexander,Breighton,23.29,14.43,40,931.6,577.2,354.4,2016-Q3,2016
West,Jeffrey Alexander,Escutcheons,1.78,1.14,264,469.92,300.96,168.96,2016-Q3,2016
West,Jeffrey Alexander,Durham,15.99,9.84,333,5324.67,3276.72,2047.95,2016-Q3,2016
Central,Elements,Glendale,4.65,3.02,720,3348,2174.4,1173.6,2016-Q3,2016
Midwest,Jeffrey Alexander,Bremen,126,73.13,388,48888,28374.44,20513.56,2016-Q3,2016
Central,Jeffrey Alexander,Rochester,2.6528,5.98,556,1474.9568,3324.88,-1849.9232,2016-Q3,2016
Central,Elements,Brenton,10.35,7.05,302,3125.7,2129.1,996.6,2016-Q3,2016
Central,Elements,Calloway,3.79,2.36,929,3520.91,2192.44,1328.47,2016-Q3,2016
Midwest,Elements,Calloway,6.55,4.14,1256,8226.8,5199.84,3026.96,2016-Q3,2016
South,Jeffrey Alexander,Marlo,8.05,5.13,19,152.95,97.47,55.48,2016-Q3,2016
Central,Elements,Lindos,3.83,2.55,329,1260.07,838.95,421.12,2016-Q3,2016
West,Elements,Arcadia,5.05,3.18,514,2595.7,1634.52,961.18,2016-Q3,2016
Midwest,Jeffrey Alexander,Cordova,15.79,9.27,547,8637.13,5070.69,3566.44,2016-Q3,2016
East coast,Elements,Lindos,3.83,2.55,736,2818.88,1876.8,942.08,2016-Q3,2016
East coast,Jeffrey Alexander,Maybeck,26.62,15.02,826,21988.12,12406.52,9581.6,2016-Q3,2016
West,Elements,Vienna,4.73,3.22,766,3623.18,2466.52,1156.66,2016-Q3,2016
Central,Elements,Vienna,4.73,2.9,16,75.68,46.4,29.28,2016-Q3,2016
Midwest,Elements,Asher,9.98,6.06,159,1586.82,963.54,623.28,2016-Q3,2016
East coast,Jeffrey Alexander,Leyton,16.59,9.44,317,5259.03,2992.48,2266.55,2016-Q3,2016
West,Jeffrey Alexander,West,17.85,9.88,248,4426.8,2450.24,1976.56,2016-Q3,2016
West,Jeffrey Alexander,Delgado,9.89,6.41,834,8248.26,5345.94,2902.32,2016-Q3,2016
Midwest,Elements,Merryville,4.15,2.79,1176,4880.4,3281.04,1599.36,2016-Q3,2016
Central,Elements,Glendale,5.98,3.65,726,4341.48,2649.9,1691.58,2016-Q3,2016
Northeast,Elements,Verona,2.67,1.68,45,120.15,75.6,44.55,2016-Q3,2016
Northwest,Jeffrey Alexander,Aberdeen,24.85,16.07,965,23980.25,15507.55,8472.7,2016-Q3,2016
Central,Elements,Asher,9.98,6.39,708,7065.84,4524.12,2541.72,2016-Q3,2016
West,Jeffrey Alexander,Backplates,8.79,5.49,711,6249.69,3903.39,2346.3,2016-Q3,2016
International,Jeffrey Alexander,Marlo,13.99,7.97,209,2923.91,1665.73,1258.18,2016-Q3,2016
West,Jeffrey Alexander,Delgado,136.25,84.5,425,57906.25,35912.5,21993.75,2016-Q3,2016
West,Elements,Torino,2.52,1.7,130,327.6,221,106.6,2016-Q3,2016
Midwest,Jeffrey Alexander,Hudson,13.83,8.69,1275,17633.25,11079.75,6553.5,2016-Q3,2016
Midwest,Elements,Aiden,1.4229,4.31,753,1071.4437,3245.43,-2173.9863,2016-Q3,2016
Central,Elements,Naples,15.25,9.49,974,14853.5,9243.26,5610.24,2016-Q3,2016
Central,Elements,Geneva,4.55,3.07,745,3389.75,2287.15,1102.6,2016-Q3,2016
Central,Elements,Madison,3.45,2.4,129,445.05,309.6,135.45,2016-Q3,2016
South,Elements,Edgefield,11.99,8.11,260,3117.4,2108.6,1008.8,2016-Q3,2016
West,Elements,Watervale,5.39,3.43,988,5325.32,3388.84,1936.48,2016-Q3,2016
Midwest,Jeffrey Alexander,Lafayette,19.63,11.6,693,13603.59,8038.8,5564.79,2016-Q3,2016
Midwest,Jeffrey Alexander,Tahoe,136.25,86.17,1399,190613.75,120551.83,70061.92,2016-Q3,2016
Central,Elements,Edgefield,9.35,5.66,225,2103.75,1273.5,830.25,2016-Q3,2016
Central,Elements,Aiden,1.1779,3.67,875,1030.6625,3211.25,-2180.5875,2016-Q3,2016
Central,Elements,Strickland,9.53,5.99,111,1057.83,664.89,392.94,2016-Q3,2016
South,Jeffrey Alexander,Annadale,9.68,5.97,369,3571.92,2202.93,1368.99,2016-Q3,2016
South,Jeffrey Alexander,Durham,14.05,8.54,486,6828.3,4150.44,2677.86,2016-Q3,2016
West,Jeffrey Alexander,Tiffany,126,79.92,645,81270,51548.4,29721.6,2016-Q3,2016
Northeast,Jeffrey Alexander,Milan,15.99,9.13,919,14694.81,8390.47,6304.34,2016-Q3,2016
Northeast,Jeffrey Alexander,Durham,14.05,7.91,936,13150.8,7403.76,5747.04,2016-Q3,2016
East coast,Elements,Vienna,2.28,1.46,159,362.52,232.14,130.38,2016-Q3,2016
Central,Elements,Strickland,6.11,3.82,147,898.17,561.54,336.63,2016-Q3,2016
East coast,Jeffrey Alexander,Cordova,126,71.76,969,122094,69535.44,52558.56,2016-Q3,2016
East coast,Jeffrey Alexander,Bella,20.35,12.17,471,9584.85,5732.07,3852.78,2016-Q3,2016
Central,Elements,Belfast,8.45,5.84,960,8112,5606.4,2505.6,2016-Q3,2016
Central,Elements,Gatsby,3.07,1.94,944,2898.08,1831.36,1066.72,2016-Q3,2016
Central,Elements,Merryville,3.83,2.3,991,3795.53,2279.3,1516.23,2016-Q3,2016
Northwest,Jeffrey Alexander,Hudson,126,70.15,232,29232,16274.8,12957.2,2016-Q3,2016
West,Jeffrey Alexander,Hudson,126,71.99,663,83538,47729.37,35808.63,2016-Q3,2016
West,Jeffrey Alexander,Tahoe,13.83,8.73,539,7454.37,4705.47,2748.9,2016-Q3,2016
Northwest,Jeffrey Alexander,Bremen,126,77.79,10,1260,777.9,482.1,2016-Q3,2016
Northwest,Jeffrey Alexander,Bordeaux,7.96,5.07,292,2324.32,1480.44,843.88,2016-Q3,2016
South,Jeffrey Alexander,Tiffany,10.71,6.75,50,535.5,337.5,198,2016-Q3,2016
Midwest,Elements,Naples,3.05,1.95,404,1232.2,787.8,444.4,2016-Q3,2016
Northwest,Jeffrey Alexander,Rae,9.89,6.1,970,9593.3,5917,3676.3,2016-Q3,2016
Northeast,Elements,Naples,7.25,4.91,297,2153.25,1458.27,694.98,2016-Q3,2016
South,Jeffrey Alexander,Marlo,57.99,35.12,514,29806.86,18051.68,11755.18,2016-Q3,2016
South,Jeffrey Alexander,Maybeck,8.85,5.19,652,5770.2,3383.88,2386.32,2016-Q3,2016
Central,Elements,Stanton,18.29,11.51,953,17430.37,10969.03,6461.34,2016-Q3,2016
Northwest,Jeffrey Alexander,Backplates,8.79,5.66,443,3893.97,2507.38,1386.59,2016-Q3,2016
Northwest,Jeffrey Alexander,Solana,15.79,8.8,496,7831.84,4364.8,3467.04,2016-Q3,2016
Midwest,Elements,Lindos,3.83,2.45,535,2049.05,1310.75,738.3,2016-Q3,2016
Midwest,Elements,Madison,126,78.24,1398,176148,109379.52,66768.48,2016-Q3,2016
Northwest,Jeffrey Alexander,Durham,21.99,13.56,784,17240.16,10631.04,6609.12,2016-Q3,2016
Northwest,Jeffrey Alexander,Cordova,160,98.6,727,116320,71682.2,44637.8,2016-Q3,2016
West,Jeffrey Alexander,Venezia,14.99,9.08,202,3027.98,1834.16,1193.82,2016-Q3,2016
Northeast,Jeffrey Alexander,Sutton,12.27,7.46,992,12171.84,7400.32,4771.52,2016-Q3,2016
Central,Elements,Tempo,1.81,1.09,86,155.66,93.74,61.92,2016-Q3,2016
Northeast,Elements,Madison,3.45,2.24,632,2180.4,1415.68,764.72,2016-Q3,2016
South,Jeffrey Alexander,Grande,22.65,14.26,291,6591.15,4149.66,2441.49,2016-Q3,2016
East coast,Jeffrey Alexander,Belcastel,9.99,5.72,537,5364.63,3071.64,2292.99,2016-Q3,2016
Northwest,Elements,Torino,2.67,1.76,259,691.53,455.84,235.69,2016-Q3,2016
Central,Elements,Arcadia,5.05,3.25,258,1302.9,838.5,464.4,2016-Q3,2016
Central,Elements,Belfast,8.1,5.57,42,340.2,233.94,106.26,2016-Q3,2016
South,Jeffrey Alexander,Lafayette,19.63,11.49,373,7321.99,4285.77,3036.22,2016-Q3,2016
South,Jeffrey Alexander,Symphony,11.24,6.94,779,8755.96,5406.26,3349.7,2016-Q3,2016
Central,Jeffrey Alexander,Rae,9.89,6.02,832,8228.48,5008.64,3219.84,2016-Q3,2016
Midwest,Jeffrey Alexander,Tahoe,14.55,9.19,112,1629.6,1029.28,600.32,2016-Q3,2016
Northeast,Jeffrey Alexander,Zane,12.75,7.85,798,10174.5,6264.3,3910.2,2016-Q3,2016
West,Jeffrey Alexander,Rae,17.45,11.25,620,10819,6975,3844,2016-Q3,2016
Midwest,Elements,Cypress,3.58,2.39,960,3436.8,2294.4,1142.4,2016-Q3,2016
Central,Elements,Seaver,6.49,4.04,915,5938.35,3696.6,2241.75,2016-Q3,2016
Central,Elements,Kingsport,5.25,3.55,322,1690.5,1143.1,547.4,2016-Q3,2016
East coast,Jeffrey Alexander,Mirada,5.25,2.89,521,2735.25,1505.69,1229.56,2016-Q3,2016
Central,Elements,Seaver,3.89,2.44,739,2874.71,1803.16,1071.55,2016-Q3,2016
Central,Elements,Naples,10.83,6.76,553,5988.99,3738.28,2250.71,2016-Q3,2016
South,Jeffrey Alexander,Modena,13.53,8.03,410,5547.3,3292.3,2255,2016-Q3,2016
Midwest,Elements,Asher,9.98,6.06,74,738.52,448.44,290.08,2016-Q3,2016
Midwest,Jeffrey Alexander,Rae,24.5,15.7,529,12960.5,8305.3,4655.2,2016-Q3,2016
West,Jeffrey Alexander,Belcastel,9.99,5.77,147,1468.53,848.19,620.34,2016-Q3,2016
Midwest,Jeffrey Alexander,Maybeck,7.75,4.26,1083,8393.25,4613.58,3779.67,2016-Q3,2016
Northwest,Jeffrey Alexander,Escutcheons,1.78,1.13,629,1119.62,710.77,408.85,2016-Q3,2016
East coast,Elements,Hadly,4.41,2.94,666,2937.06,1958.04,979.02,2016-Q3,2016
East coast,Jeffrey Alexander,Zurich,9.25,5.56,288,2664,1601.28,1062.72,2016-Q3,2016
Northwest,Jeffrey Alexander,Tuscany,12.27,7.63,540,6625.8,4120.2,2505.6,2016-Q3,2016
East coast,Elements,Slade,4.99,3.11,498,2485.02,1548.78,936.24,2016-Q3,2016
Midwest,Elements,Florence,5.21,3.2,871,4537.91,2787.2,1750.71,2016-Q3,2016
West,Elements,Gatsby,2.28,1.42,940,2143.2,1334.8,808.4,2016-Q3,2016
East coast,Elements,Hadley,6.35,4.38,471,2990.85,2062.98,927.87,2016-Q3,2016
Midwest,Jeffrey Alexander,Hayworth,57.99,32.18,726,42100.74,23362.68,18738.06,2016-Q3,2016
Central,Elements,Cypress,2.5,1.59,848,2120,1348.32,771.68,2016-Q3,2016
West,Jeffrey Alexander,West,24.15,13.69,765,18474.75,10472.85,8001.9,2016-Q3,2016
South,Jeffrey Alexander,Regency,7.13,4.61,66,470.58,304.26,166.32,2016-Q3,2016
South,Jeffrey Alexander,Tiffany,25.55,14.62,806,20593.3,11783.72,8809.58,2016-Q3,2016
Central,Elements,Torino,2.52,1.57,949,2391.48,1489.93,901.55,2016-Q3,2016
East coast,Jeffrey Alexander,Sutton,12.27,6.8,483,5926.41,3284.4,2642.01,2016-Q3,2016
South,Jeffrey Alexander,Marlo,57.99,37.64,658,38157.42,24767.12,13390.3,2016-Q3,2016
Northeast,Jeffrey Alexander,Bremen,8.93,5.06,881,7867.33,4457.86,3409.47,2016-Q3,2016
Northwest,Elements,Hadley,6.35,4.18,796,5054.6,3327.28,1727.32,2016-Q3,2016
Northwest,Jeffrey Alexander,Odessa,13.31,7.52,703,9356.93,5286.56,4070.37,2016-Q3,2016
Central,Jeffrey Alexander,Milan,13.39,7.98,832,11140.48,6639.36,4501.12,2016-Q3,2016
Central,Elements,Cypress,2.5,1.59,305,762.5,484.95,277.55,2016-Q3,2016
West,Jeffrey Alexander,Bella,17.68,9.93,966,17078.88,9592.38,7486.5,2016-Q3,2016
West,Jeffrey Alexander,Regan,6.35,3.57,129,819.15,460.53,358.62,2016-Q3,2016
South,Jeffrey Alexander,Tahoe,17.95,10.16,116,2082.2,1178.56,903.64,2016-Q3,2016
Central,Jeffrey Alexander,Tiffany,18.1,10.77,959,17357.9,10328.43,7029.47,2016-Q3,2016
South,Jeffrey Alexander,Rae,21.05,12.77,576,12124.8,7355.52,4769.28,2016-Q3,2016
Central,Elements,Naples,10.83,7.37,268,2902.44,1975.16,927.28,2016-Q3,2016
Central,Elements,Verona,5.25,3.48,260,1365,904.8,460.2,2016-Q3,2016
Midwest,Jeffrey Alexander,Aberdeen,10.15,5.67,1265,12839.75,7172.55,5667.2,2016-Q3,2016
Northwest,Jeffrey Alexander,Sutton,10.25,6.48,706,7236.5,4574.88,2661.62,2016-Q3,2016
Northeast,Elements,Luxe,5.09,3.5,713,3629.17,2495.5,1133.67,2016-Q3,2016
West,Jeffrey Alexander,Prestige,17.68,11.28,681,12040.08,7681.68,4358.4,2016-Q3,2016
Northwest,Jeffrey Alexander,Valencia,9.68,5.39,230,2226.4,1239.7,986.7,2016-Q3,2016
International,Elements,Park,6.35,4.37,230,1460.5,1005.1,455.4,2016-Q3,2016
Northwest,Jeffrey Alexander,Glenmore,6.2,3.58,669,4147.8,2395.02,1752.78,2016-Q3,2016
Northeast,Jeffrey Alexander,Callie,15.79,9.58,260,4105.4,2490.8,1614.6,2016-Q3,2016
East coast,Elements,Gatsby,3.07,2.07,637,1955.59,1318.59,637,2016-Q3,2016
Northwest,Elements,Belfast,8.1,5.57,729,5904.9,4060.53,1844.37,2016-Q3,2016
Midwest,Jeffrey Alexander,Lexa,18.85,11.04,741,13967.85,8180.64,5787.21,2016-Q3,2016
East coast,Elements,Zachary,3.15,1.96,995,3134.25,1950.2,1184.05,2016-Q3,2016
East coast,Jeffrey Alexander,Bordeaux,6.58,4.17,362,2381.96,1509.54,872.42,2016-Q3,2016
Midwest,Jeffrey Alexander,Durham,15.99,9.46,46,735.54,435.16,300.38,2016-Q3,2016
Central,Elements,Stanton,13.35,9.17,995,13283.25,9124.15,4159.1,2016-Q4,2016
South,Jeffrey Alexander,Bordeaux,7.96,4.61,468,3725.28,2157.48,1567.8,2016-Q4,2016
Central,Elements,Cosgrove,8.48,5.52,405,3434.4,2235.6,1198.8,2016-Q4,2016
Northeast,Jeffrey Alexander,Bordeaux,6.58,3.64,383,2520.14,1394.12,1126.02,2016-Q4,2016
South,Elements,Asher,8.55,5.98,736,6292.8,4401.28,1891.52,2016-Q4,2016
Northwest,Jeffrey Alexander,Delmar,10.05,6.34,722,7256.1,4577.48,2678.62,2016-Q4,2016
East coast,Elements,Luxe,3.11,2.14,80,248.8,171.2,77.6,2016-Q4,2016
West,Elements,Hadly,4.41,2.83,295,1300.95,834.85,466.1,2016-Q4,2016
Central,Elements,Verona,4.65,2.91,25,116.25,72.75,43.5,2016-Q4,2016
West,Elements,Palisade,3.73,2.46,270,1007.1,664.2,342.9,2016-Q4,2016
Central,Elements,Torino,2.85,1.86,890,2536.5,1655.4,881.1,2016-Q4,2016
West,Elements,Gatsby,3.23,2.18,983,3175.09,2142.94,1032.15,2016-Q4,2016
Central,Elements,Naples,10.4,7.25,990,10296,7177.5,3118.5,2016-Q4,2016
West,Jeffrey Alexander,Zane,57.99,33.11,360,20876.4,11919.6,8956.8,2016-Q4,2016
West,Elements,Calloway,7.25,4.67,796,5771,3717.32,2053.68,2016-Q4,2016
Northeast,Jeffrey Alexander,Cairo,8.85,5.39,255,2256.75,1374.45,882.3,2016-Q4,2016
West,Elements,Naples,3.63,2.28,250,907.5,570,337.5,2016-Q4,2016
Northwest,Elements,Asher,6.95,4.62,697,4844.15,3220.14,1624.01,2016-Q4,2016
Central,Jeffrey Alexander,Maybeck,19.86,12.27,401,7963.86,4920.27,3043.59,2016-Q4,2016
Northeast,Jeffrey Alexander,Hayworth,7.75,4.52,897,6951.75,4054.44,2897.31,2016-Q4,2016
Northwest,Elements,Drake,5.15,3.48,40,206,139.2,66.8,2016-Q4,2016
West,Jeffrey Alexander,Chesapeake,126,78.9,450,56700,35505,21195,2016-Q4,2016
Northwest,Elements,Florence,6.83,4.73,27,184.41,127.71,56.7,2016-Q4,2016
South,Jeffrey Alexander,Annadale,14.45,7.95,709,10245.05,5636.55,4608.5,2016-Q4,2016
Central,Elements,Geneva,5.2,3.23,501,2605.2,1618.23,986.97,2016-Q4,2016
South,Elements,Brenton,8.05,5.12,832,6697.6,4259.84,2437.76,2016-Q4,2016
East coast,Elements,Gatsby,2.28,1.57,185,421.8,290.45,131.35,2016-Q4,2016
East coast,Elements,Syracuse,6.95,4.52,871,6053.45,3936.92,2116.53,2016-Q4,2016
West,Jeffrey Alexander,Regency,7.13,4.61,854,6089.02,3936.94,2152.08,2016-Q4,2016
West,Jeffrey Alexander,Backplates,8.79,4.91,531,4667.49,2607.21,2060.28,2016-Q4,2016
Northeast,Jeffrey Alexander,Lafayette,10.35,6.65,996,10308.6,6623.4,3685.2,2016-Q4,2016
West,Jeffrey Alexander,Cordova,15.79,9.27,861,13595.19,7981.47,5613.72,2016-Q4,2016
Central,Jeffrey Alexander,Backplates,8.79,5.16,189,1661.31,975.24,686.07,2016-Q4,2016
Northeast,Jeffrey Alexander,Harlow,14.99,8.84,230,3447.7,2033.2,1414.5,2016-Q4,2016
Northwest,Elements,Edgefield,6.65,4.61,931,6191.15,4291.91,1899.24,2016-Q4,2016
West,Elements,Verona,6.75,4.51,43,290.25,193.93,96.32,2016-Q4,2016
West,Elements,Madison,126,78.73,766,96516,60307.18,36208.82,2016-Q4,2016
Midwest,Jeffrey Alexander,Sutton,10.25,6.2,883,9050.75,5474.6,3576.15,2016-Q4,2016
East coast,Jeffrey Alexander,Bordeaux,7.96,5.06,770,6129.2,3896.2,2233,2016-Q4,2016
West,Jeffrey Alexander,Regan,6.35,3.69,836,5308.6,3084.84,2223.76,2016-Q4,2016
Central,Jeffrey Alexander,Aberdeen,24.85,14.89,368,9144.8,5479.52,3665.28,2016-Q4,2016
Northeast,Jeffrey Alexander,Bremen,126,75.44,768,96768,57937.92,38830.08,2016-Q4,2016
West,Jeffrey Alexander,Bremen,7.13,4.61,349,2488.37,1608.89,879.48,2016-Q4,2016
Central,Jeffrey Alexander,Bremen,10.71,6.19,493,5280.03,3051.67,2228.36,2016-Q4,2016
Northeast,Jeffrey Alexander,Montclair,18.87,11.66,866,16341.42,10097.56,6243.86,2016-Q4,2016
West,Jeffrey Alexander,Glenmore,6.2,3.52,114,706.8,401.28,305.52,2016-Q4,2016
Central,Elements,Slade,5.68,3.54,334,1897.12,1182.36,714.76,2016-Q4,2016
South,Jeffrey Alexander,Bremen,12.45,7.36,339,4220.55,2495.04,1725.51,2016-Q4,2016
East coast,Elements,Stanton,13.35,9.11,953,12722.55,8681.83,4040.72,2016-Q4,2016
Central,Elements,Brenton,8.05,5.26,243,1956.15,1278.18,677.97,2016-Q4,2016
South,Jeffrey Alexander,Escutcheons,1.78,0.99,496,882.88,491.04,391.84,2016-Q4,2016
Midwest,Jeffrey Alexander,Harlow,12.89,8.03,284,3660.76,2280.52,1380.24,2016-Q4,2016
Northwest,Jeffrey Alexander,Breighton,17.05,9.63,746,12719.3,7183.98,5535.32,2016-Q4,2016
East coast,Elements,Tempo,2.43,1.64,382,928.26,626.48,301.78,2016-Q4,2016
West,Jeffrey Alexander,Ella,136.25,81.78,320,43600,26169.6,17430.4,2016-Q4,2016
West,Jeffrey Alexander,Symphony,10.68,6.55,91,971.88,596.05,375.83,2016-Q4,2016
South,Jeffrey Alexander,Tahoe,21.99,14.17,533,11720.67,7552.61,4168.06,2016-Q4,2016
Central,Elements,Gatsby,3.53,2.39,345,1217.85,824.55,393.3,2016-Q4,2016
South,Elements,Glendale,4.65,3.02,23,106.95,69.46,37.49,2016-Q4,2016
East coast,Jeffrey Alexander,Aberdeen,10.15,5.75,320,3248,1840,1408,2016-Q4,2016
Northeast,Jeffrey Alexander,Delmar,150.75,91.38,132,19899,12062.16,7836.84,2016-Q4,2016
Midwest,Elements,Zachary,8.32,5.4,1342,11165.44,7246.8,3918.64,2016-Q4,2016
East coast,Jeffrey Alexander,Aberdeen,29.38,17.62,999,29350.62,17602.38,11748.24,2016-Q4,2016
South,Jeffrey Alexander,Durham,6.58,4.09,733,4823.14,2997.97,1825.17,2016-Q4,2016
Central,Elements,Hammond,5.39,3.51,821,4425.19,2881.71,1543.48,2016-Q4,2016
East coast,Jeffrey Alexander,Lille,126,71.41,747,94122,53343.27,40778.73,2016-Q4,2016
Northwest,Elements,Naples,8.99,5.74,136,1222.64,780.64,442,2016-Q4,2016
Central,Elements,Strickland,6.89,4.15,460,3169.4,1909,1260.4,2016-Q4,2016
East coast,Jeffrey Alexander,Prestige,20.35,11.66,995,20248.25,11601.7,8646.55,2016-Q4,2016
Midwest,Jeffrey Alexander,Belcastel,6.95,4.46,512,3558.4,2283.52,1274.88,2016-Q4,2016
South,Jeffrey Alexander,Regency,7.13,4.49,811,5782.43,3641.39,2141.04,2016-Q4,2016
Northwest,Elements,Zachary,4.15,2.51,312,1294.8,783.12,511.68,2016-Q4,2016
Central,Elements,Naples,12.65,8.72,240,3036,2092.8,943.2,2016-Q4,2016
International,Jeffrey Alexander,Cordova,8.59,5.36,42,360.78,225.12,135.66,2016-Q4,2016
East coast,Elements,Aiden,0.7237,2.19,978,707.7786,2141.82,-1434.0414,2016-Q4,2016
East coast,Jeffrey Alexander,Cordova,7.05,4.29,913,6436.65,3916.77,2519.88,2016-Q4,2016
Central,Elements,Aiden,1.4229,4.12,174,247.5846,716.88,-469.2954,2016-Q4,2016
Northeast,Elements,Drake,4.79,3.05,837,4009.23,2552.85,1456.38,2016-Q4,2016
Northwest,Jeffrey Alexander,Maybeck,9.99,6.42,495,4945.05,3177.9,1767.15,2016-Q4,2016
Northwest,Jeffrey Alexander,Tiffany,25.55,14.25,55,1405.25,783.75,621.5,2016-Q4,2016
Central,Elements,Palisade,2.05,1.34,662,1357.1,887.08,470.02,2016-Q4,2016
West,Jeffrey Alexander,Hayworth,7.75,4.52,784,6076,3543.68,2532.32,2016-Q4,2016
Northeast,Jeffrey Alexander,Lyon,8.29,5.22,666,5521.14,3476.52,2044.62,2016-Q4,2016
Central,Elements,Palisade,3.73,2.46,489,1823.97,1202.94,621.03,2016-Q4,2016
Central,Elements,Slade,2.39,1.64,492,1175.88,806.88,369,2016-Q4,2016
Central,Elements,Lindos,4.87,3.1,106,516.22,328.6,187.62,2016-Q4,2016
Midwest,Jeffrey Alexander,Rochester,3.9162,8.83,725,2839.245,6401.75,-3562.505,2016-Q4,2016
Midwest,Jeffrey Alexander,Cairo,8.85,5.39,579,5124.15,3120.81,2003.34,2016-Q4,2016
West,Jeffrey Alexander,Cordova,160,98.6,629,100640,62019.4,38620.6,2016-Q4,2016
Northwest,Jeffrey Alexander,Callie,10.98,6.24,105,1152.9,655.2,497.7,2016-Q4,2016
Central,Jeffrey Alexander,Delmar,32.59,18.77,973,31710.07,18263.21,13446.86,2016-Q4,2016
Central,Jeffrey Alexander,Belcastel,8.93,5.11,56,500.08,286.16,213.92,2016-Q4,2016
South,Jeffrey Alexander,Hudson,10.6,5.85,27,286.2,157.95,128.25,2016-Q4,2016
Central,Elements,Arcadia,5.05,3.03,97,489.85,293.91,195.94,2016-Q4,2016
Northeast,Elements,Somerset,3.58,2.34,532,1904.56,1244.88,659.68,2016-Q4,2016
Midwest,Jeffrey Alexander,Delmar,32.59,20.38,718,23399.62,14632.84,8766.78,2016-Q4,2016
West,Jeffrey Alexander,Rochester,3.9162,8.83,672,2631.6864,5933.76,-3302.0736,2016-Q4,2016
South,Jeffrey Alexander,Harlow,16.05,9.83,195,3129.75,1916.85,1212.9,2016-Q4,2016
Northwest,Elements,Lindos,4.15,2.82,619,2568.85,1745.58,823.27,2016-Q4,2016
